title,city,price,link
Той-пудель,"Республика Бурятия, Улан-Удэ",1  ₽,https://www.avito.ru//ulan-ude/sobaki/toy-pudel_1911097611
Той-пудель,"Ставропольский край, Георгиевский г.о., Георгиевск",Цена не указана,https://www.avito.ru//georgievsk/sobaki/toy-pudel_1708068915
Щенки той-пуделя,"Московская область, Люберцы",Цена не указана,https://www.avito.ru//lyubertsy/sobaki/schenki_toy-pudelya_1904533065
Той-Пудель,Москва,22 000  ₽,https://www.avito.ru//moskva/sobaki/toy-pudel_1923440531
Абрикосовый той пудель кобель,"Республика Крым, Симферополь",Цена не указана,https://www.avito.ru//simferopol/sobaki/abrikosovyy_toy_pudel_kobel_1943310144
Той-пудель щенки,Москва,45 000  ₽,https://www.avito.ru//moskva/sobaki/toy-pudel_schenki_1932710711
Той-пудель,Москва,50 000  ₽,https://www.avito.ru//moskva/sobaki/toy-pudel_1901441860
"Той-пудель, тикап",Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/toy-pudel_tikap_1111157885
Той пудель приглашает дам,"Нижегородская область, Нижний Новгород",100  ₽,https://www.avito.ru//nizhniy_novgorod/sobaki/toy_pudel_priglashaet_dam_1191704277
Той-пудель,"Пермский край, Пермь",Цена не указана,https://www.avito.ru//perm/sobaki/toy-pudel_1838768752
Той-пудель,Санкт-Петербург,Цена не указана,https://www.avito.ru//sankt-peterburg/sobaki/toy-pudel_1895490369
Той-пуделя,"Смоленская область, Смоленск",Цена не указана,https://www.avito.ru//smolensk/sobaki/toy-pudelya_1026647890
Щенки той-пуделя,Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/schenki_toy-pudelya_684853184
Той-пудель,"Костромская область, Кострома",15 000  ₽,https://www.avito.ru//kostroma/sobaki/toy-pudel_1928124368
Той-пудель,"Красноярский край, Зеленогорск",Цена не указана,https://www.avito.ru//krasnoyarskiy_kray_zelenogorsk/sobaki/toy-pudel_1921917899
Той-пудель черного окраса,"Белгородская область, Белгород",Цена не указана,https://www.avito.ru//belgorod/sobaki/toy-pudel_chernogo_okrasa_1924476255
Тикап Той-пудель,"Нижегородская область, Нижний Новгород",65 000  ₽,https://www.avito.ru//nizhniy_novgorod/sobaki/tikap_toy-pudel_1921037134
"Тикап той-пудель белые, редбраун и абрикос",Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/tikap_toy-pudel_belye_redbraun_i_abrikos_1197846141
Той-пудель,"Республика Хакасия, Абакан",1  ₽,https://www.avito.ru//abakan/sobaki/toy-pudel_1931592577
Щенки той пуделя,Москва,160 000  ₽,https://www.avito.ru//moskva/sobaki/schenki_toy_pudelya_1922083795
Той-пудель мальчики и девочки,"Воронежская область, Воронеж",Цена не указана,https://www.avito.ru//voronezh/sobaki/toy-pudel_malchiki_i_devochki_1116903337
Той Пудель,"Новосибирская область, Новосибирск",Цена не указана,https://www.avito.ru//novosibirsk/sobaki/toy_pudel_1374339579
